OBJECTID,CASENUMBER,MODULENAME,CASEID,WORKCLASS,APPLICATIONDATE,PROJECTID,PROJECTNAME,GISHISTORYQUEUEID,SPATIALTYPE,SPATIALID,CASETYPE,CASEWORKCLASS,STATUS,DESCRIPTION,ISSUEDATE,EXPIREDATE,MAIN_ADDRESS_LINE1,MAIN_ADDRESS_LINE2,OWNER,BUSINESSPHONE,LASTCHANGEDON,SHAPE.AREA,SHAPE.LEN
408294,2003590001,,,,,,HORIZON TOWN CENTER,,,,,,,DAVID FRANK,,,1411 S BOULDER HWY,,,,,1402538.18142526,5388.93993057933
408329,2003590005,,,,,,WILLOW CREEK OFFICE PARK,,,,,,,YAMAGATA ENTERPRISES INC,,,2900 W HORIZON RIDGE PKWY,,,,,142203.58557480903,1602.6707727955602
408330,2003590006,,,,,,WILLOW CREEK ASSISTED LIVING,,,,,,,HERMAN DONALD S & LAURIE H,,,2910 W HORIZON RIDGE PKWY,,,,,227393.099794964,2166.69981663355
408333,2003590007,,,,,,MONTELAGO RETAIL VILLAGE,,,,,,,INTRAWEST LAKE LAS VEGAS DEV,,,60 COSTA DI LAGO,,,,,1015751.49322682,4453.0170694157005
408351,2001590001,,,,,,FIESTA HENDERSON - RESERVE HOTEL,,,,,,,B&D SIGNS INC,,,777 W LAKE MEAD PKWY,,,,,1897701.43977434,5999.738023527801
408356,AR-97-90,,,,,,UNOCAL/REBEL,,,,,,,UNOCAL/REBEL,,,6451 MOUNTAIN VISTA ST,,,,,13370.851229940301,451.612504890792
408357,AR-98-91,,,,,,PACIFIC ISLANDS,,,,,,,SIGN SYSTEMS INC,,,2151 N GREEN VALLEY PKWY,,,,,891645.6846129821,4094.20282270486
408358,AR-98-93,,,,,,HIGHLAND HILLS BAPTIST CHURCH,,,,,,, ,,,615 COLLEGE DR,,,,,114270.41672598901,2166.6996206886297
408359,AR-98-94,,,,,,MR POOL & MRS PATIO,,,,,,,ANC/LEO MAINWAL,,,1960 W SUNSET RD,,,,,56671.5578885986,1018.41944532438
408360,CMSP2016500618,PlanManagement,C68FAD00-0A2E-471D-AD02-C7CDB8B3D4A9,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1482796800000.0, ,GREEN VALLEY RANCH,A5E2280D-62F6-4042-99AB-9D0C26FD85BE,Parcel,17820310001,CD - Current Planning and Entitlements,Master Sign Plan,Pending,HENDERSON PAVILION AT GREEN VALLEY RANCH,,,200 S GREEN VALLEY PKWY,"HENDERSON, NV 89012", , ,1488412800000.0,1112037.05831431,4543.235086154111
408361,CMSP2016500626,PlanManagement,7433EEF0-410D-4CA6-B748-2F20CB6655E9,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1482969600000.0, ,CHAMPION VILLAGE,92E84449-4322-47D8-B8C1-FAA4FEF294E1,Parcel,17821501016,CD - Current Planning and Entitlements,Master Sign Plan,Approved,Stephanie Apartments,,,1480 PASEO VERDE PKWY,"HENDERSON, NV 89012",Kaempfer Crowell, ,1490227200000.0,305093.876571805,2820.8605551959104
408362,CMSP2017500039,PlanManagement,8F75A0D9-A153-428E-A9C8-7E98556C69D0,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1485216000000.0, ,MIDWAY,91DE03D1-DB1E-4DF9-BBC3-3645DE96F2FE,Parcel,17801410015,CD - Current Planning and Entitlements,Master Sign Plan,Approved,Brads Toys,,,1433 N BOULDER HWY,"HENDERSON, NV 89011",Brads Toys,7025639819,1496102400000.0,9593.85971976129,405.087590770267
408363,CMSP2017500101,PlanManagement,00D1D0CE-C80C-4BF1-B884-5EB7FAEA750A,21ce0a55-74f4-4564-bc2f-28fc972e7bce,1488153600000.0, ,WEST HENDERSON,716153F7-4A33-41B2-9209-FD44EFA7C934,Parcel,19110701017,CD - Current Planning and Entitlements,Master Sign Plan,Pending,Speedee Mart 124,,,3470 VOLUNTEER BLVD,"HENDERSON, NV 89044",Turnbow Sign & Art,4159864211,1495497600000.0,98342.4866409269,1311.77257078428
408369,AR-76-92,,,,,,GREEN VALLEY PLAZA,,,,,,,SIGN SYSTEMS,,,2700 N GREEN VALLEY PKWY,,,,,429621.460644475,2661.1108185693897
408370,AR-77-90,,,,,,JOKERS WILD,,,,,,,DON BELL AND COMPANY,,,920 N BOULDER HWY,,,,,228048.54951589,2106.86911973196
408371,AR-79-92,,,,,,TOMS SUNSET CASINO,,,,,,,DON BELL & CO,,,444 W SUNSET RD,,,,,99526.6324498336,1440.1381971535202
408372,AR-8-92,,,,,,PECOS WINDMILL PLAZA,,,,,,,WARREN KELLOGG,,,2601 WINDMILL PKWY,,,,,522030.54458368407,2940.00727858511
408373,AR-80-92,,,,,,ST ROSE MEDICAL PLAZA,,,,,,,YOUNG ELECTRIC SIGN COMPANY,,,98 E LAKE MEAD DR,,,,,30488.46693909,746.659881236681
408376,SP-10-99,,,,,,WIGWAM PROF CNTR AMEND GREEN VALLEY SOUTH (AR-125-,,,,,,,ROLAND SANSONE,,,2649 & 2625 WIGWAM PKWY,,,,,79730.2568507247,1133.16035497102
408389,AR-1-92,,,,,,SUNSET PLAZA,,,,,,,TRF/NAVILLUS,,,1030 W SUNSET RD,,,,,971100.966638171,5146.89141060601
408390,AR-1-94,,,,,,SUNSET VISTA PROFESSIONAL PARK,,,,,,,YOUNG ELECTRIC SIGN COMPANY,,,4 SUNSET WAY,,,,,241808.103447409,1935.98708427274
408391,AR-10-94,,,,,,ELDORADO CASINO,,,,,,,LARSEN,,,140 WATER ST,,,,,137480.635580341,1601.31897426602
408392,AR-102-93,,,,,,GREEN VALLEY CHEVRON FOOD MART,,,,,,,SERVICE STATION PTNR- ROSS WILLIAMS,,,4190 E SUNSET RD,,,,,42737.952053234,822.9385936532381
408393,AR-105-94,,,,,,SUNSET LANES - RENATAS,,,,,,,GUS TZANETOPOULOS/SIGN SYSTEMS,,,4565 E SUNSET RD,,,,,661073.9375557491,3563.8176883876604
408394,AR-108-92,,,,,,QUAIL BONITA II,,,,,,,CRS ENG,,,601 WHITNEY RANCH DR,,,,,170640.600408853,1891.7465985181502
408395,AR-11-94,,,,,,VICTORY VILLAGE SHOPPING CENTER,,,,,,, ,,,300 E LAKE MEAD PKWY,,,,,1135168.35007942,4622.99417191418
408396,AR-110-94,,,,,,GREEN VALLEY TOWN CENTER,,,,,,,ANC,,,4400 E SUNSET RD,,,,,1355284.82098696,8559.17729340152
408397,AR-113-92,,,,,,ST ROSE DOMINICAN HOSPITAL,,,,,,,YOUNG ELECTRIC SIGN COMPANY,,,102 E LAKE MEAD PKWY,,,,,443654.325712142,3781.73862156501
408398,AR-119-93,,,,,,PTS CASINO,,,,,,,SILVER SPUR,,,46 WATER ST,,,,,5971.44636786116,324.740009737882
408399,AR-120-94,,,,,,MUGSHOTS EATERY AMEND,,,,,,,LARSEN SIGN,,,1120 N BOULDER HWY,,,,,18802.762190386504,566.426628542924
408400,AR-121-94,,,,,,SUNSET VISTA PROFESSIONAL PARK,,,,,,,YOUNG ELECTRIC SIGN COMPANY,,,4 SUNSET WAY,,,,,241808.103447409,1935.98708427274
408405,AR-74-94,,,,,,WESTWOOD VILLAGE,,,,,,,PARDEE,,,1901 N GREEN VALLEY PKWY,,,,,136319.61919792803,1615.63219464212
408411,AR-125-94,,,,,,GREEN VALLEY SOUTH AM/PM CONVENIENCE STORE,,,,,,,GREEN VALLEY INV. ESI,,,"2601 WIGWAM PKWY, 187 N PECOS",,,,,169990.95878017702,1724.54702850421
408412,AR-130-92,,,,,,PARKWAY SPRINGS PLAZA - MCDONALDS,,,,,,,"SIGN SYSTEMS, INC",,,2217 N GREEN VALLEY PKWY,,,,,31939.040576213,744.270408586299
408413,AR-131-94,,,,,,PECOS WINDMILL NORTHWEST COMMERCIAL,,,,,,,WARREN KELLOG,,,201 N PECOS RD,,,,,478464.087857657,3798.4259013210103
408414,AR-96-93,,,,,,GREEN VALLEY TOWN CENTER,,,,,,,ANC,,,4400 E SUNSET RD,,,,,1355284.82098696,8559.17729340152
408415,AR-31-92,,,,,,ST ROSE DOMINICAN HOSPITAL,,,,,,,YOUNG ELECTRIC SIGN COMPANY,,,102 E LAKE MEAD PKWY,,,,,443654.325712142,3781.73862156501
