OBJECTID_BILLBOARD,LVBOARDS_,LVBOARDS_I,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_BILLBOARD,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
201,234,39, ,1065,S,Main,13933811015,13933811015,Clear Channel Outdoor,672.0,40.0,0.0, , , , , ,14x48,1,300, ,3,467073.0,0.0,0.0,703.0,0.0,13933811015,703.0,703.0,139,33,8,11,015,203.0,2424-99,2424.0,7900.0,18758.0823266,4605.0,D,11.0,2.0,4.0,529.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89101.0,319869.0,203.0,MOLASKY VENTURES LLC,920 S COMMERCE ST,LAS VEGAS NV 89106, , , , ,891060000.0, ,1088.0, ,S,MAIN,ST,LV, , , ,PB00010051PTB5, ,SOUTH ADD,PLAT BOOK 1 PAGE 51,PT BLOCK 5, , , ,2027.0,0.0,20161103, ,2016110301034, ,NS,1448000.0,R,20161101, , , ,33,20,61,0.0,0.0, ,0.0,80045.0, ,0.0,0.0,0.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,76843.0,0.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13933811015,0.0, ,139,13933,139338,13933811,139,139338110,338,110,15,89106.0,0.0,001088   S MAIN                  ST  L,3320  61,0001,0051,MOLASKY VENTURES LLC            920 S COMMERCE ST               LAS VEGAS NV 89106,001088   S MAIN                  ST, ,0.0,523.63757571,9209.9453125,523.6375757145942
202,235,40, ,1018, ,Main,13933811008,13933811008,?,672.0,40.0,0.0, , , , ,No Case History,14x48,1,300, ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
203,237,35, ,900,S,Main,13933811002,13933811002,Clear Channel Outdoor,288.0,40.0,0.0, , , , , ,12x24,1,300, ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
204,239,40, ,807,S,Main,13934310008,13934310008,Clear Channel Outdoor,672.0,40.0,0.0, , , , , ,14x48,1,300, ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
205,242,40, ,0, , ,13934302007,13934302007,Clear Channel Outdoor,672.0,30.0,0.0, , , , , ,14x48,1,300, ,3,593664.0,0.0,2.3000000000000003,701.0,0.0,13934302007,701.0,701.0,139,34,3,02,007,203.0,2425-51,2425.0,7900.0,18758.0823266,4605.0,D,11.0,2.0,4.0,529.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89106.0,320031.0,203.0,M B LAND L L C,C/O AMERICAN NEVADA CO,2360 CORPORATE CIR # 330,HENDERSON NV 89074, , , ,890740000.0, ,5.0, ,W,BONNEVILLE,AVE,LV, , , ,00000000, ,PT NW4 SW4 SEC 34 20 61, , , , , ,2027.0,1985.0,20030221, ,2003022101830, ,NS,2864543.0,M,20011201, , , ,34,20,61,730000.0,1.0, ,2.0,1232563.0, ,0.0,0.0,423.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,1232563.0,432.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13933702002,0.0, ,139,13934,139343,13934302,139,139343020,343,020,07,89074.0,0.0,000005   W BONNEVILLE            AVE L,3420  61,0000,0000,M B LAND L L C                  C/O AMERICAN NEVADA CO          2360 CORPORATE CIR # 330        HENDERSON NV 89074,000005   W BONNEVILLE            AVE, ,730.0,1399.9891592,99975.828125,1399.9891592139213
206,244,13,AA,2330, ,Industrial,16204802007,16204802007,?,672.0,40.0,456.0,8/15/94,U-126-94, ,RQR-34323;RQR-3023, ,14x48,1,300, ,3,577570.0,0.0,1.78,701.0,0.0,16204802007,701.0,701.0,162,04,8,02,007,212.0,2524-95,2524.0,1100.0,17577.330007,5044.0,E,15.0,10.0,4.0,562.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89102.0,437818.0,212.0,SILVER CLOUD PROPERTIES L L C,C/O C HERSCHMAN,PO BOX  46470,LAS VEGAS NV 89114, , , ,891140000.0, ,2330.0, , ,INDUSTRIAL,RD,LV, , , ,00000000, ,PT SW4 SE4 SEC 04 21 61, , , , , ,2027.0,1963.0,20180822, ,2018082201713, ,NS,0.0, , , , , ,04,21,61,378000.0,1.0, ,2.0,542759.0, ,0.0,0.0,236280.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,489840.0,231377.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250925,20250925,0.0, ,16204802007,0.0, ,162,16204,162048,16204802,162,162048020,048,020,07,89114.0,0.0,002330     INDUSTRIAL            RD  L,0421  61,0000,0000,SILVER CLOUD PROPERTIES L L C   C/O C HERSCHMAN                 PO BOX  46470                   LAS VEGAS NV 89114,002330     INDUSTRIAL            RD, ,378.0,1117.64259186,77987.421875,1117.6425918495165
207,245,38, ,2111, ,Western,16204801001,16204801001,Clear Channel Outdoor,288.0,40.0,0.0, ,U-110-97, ,RQR-26303; RQR-1365, , ,1,300, ,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
208,246,37, ,1900,S,Industrial,16204704006,16204704006,Clear Channel Outdoor,288.0,40.0,1175.0,11/7/95,U-103-95, ,RQR-31387;RQR-5443, ,12x24,1,300, ,3,569508.0,0.0,1.01,701.0,0.0,16204704006,701.0,701.0,162,04,7,04,006,212.0,2524-66,2524.0,1100.0,17577.330007,5044.0,E,15.0,10.0,4.0,562.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89102.0,437665.0,212.0,NINETEEN HUNDRED SOUTH L L C,1900 INDUSTRIAL RD,LAS VEGAS NV 89102, , , , ,891020000.0, ,1910.0, , ,INDUSTRIAL,RD,LV, , , ,00000000, ,PT NW4 SE4 SEC 04 21 61, , , , , ,2027.0,1967.0,20250108, ,2025010800533, ,NS,45000000.0,M,20250101, , , ,04,21,61,620000.0,1.0, ,1.0,307972.0, ,0.0,0.0,317290.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,292573.0,323784.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250320,20250320,0.0, ,16204704006,0.0, ,162,16204,162047,16204704,162,162047040,047,040,06,89102.0,0.0,001910     INDUSTRIAL            RD  L,0421  61,0000,0000,NINETEEN HUNDRED SOUTH L L C    1900 INDUSTRIAL RD              LAS VEGAS NV 89102,001910     INDUSTRIAL            RD, ,620.0,1048.14253148,44105.1484375,1048.1425314802402
209,247,37, ,1719, ,Industrial,16204705001,16204705001,LAMAR,288.0,40.0,1413.0,4/8/96,U-223-90, ,RQR-31931; U-223-90(1), ,12x24,0,300, ,3,558936.0,0.0,0.54,701.0,0.0,16204705001,701.0,701.0,162,04,7,05,001,203.0,2524-67,2524.0,1100.0,17577.330007,5044.0,E,15.0,10.0,4.0,562.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89102.0,437668.0,203.0,BELL REAL ESTATE L L C,1910 INDUSTRIAL RD,LAS VEGAS NV 89102-4610, , , , ,891024610.0, ,1719.0, , ,INDUSTRIAL,RD,LV, ,L-20000929:1021, ,00000000, ,PT NW4 SE4 SEC 04 21 61, , , , , ,2027.0,1975.0,20000929, ,2000092901025, ,NS,0.0, , , , , ,04,21,61,370000.0,1.0, ,1.0,172887.0, ,0.0,0.0,117336.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,156421.0,115365.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250925,20250925,0.0, ,16204705001,0.0, ,162,16204,162047,16204705,162,162047050,047,050,01,89102.0,4610.0,001719     INDUSTRIAL            RD  L,0421  61,0000,0000,BELL REAL ESTATE L L C          1910 INDUSTRIAL RD              LAS VEGAS NV 89102-4610,001719     INDUSTRIAL            RD, ,370.0,722.62655688,24679.10546875,722.6265568804541
210,248,31, ,1607, ,Industrial,16204609010,16204609010,Clear Channel Outdoor,288.0,30.0,0.0, , , , , , ,0,300, ,3,766219.0,0.0,1.37,701.0,0.0,16204609010,701.0,701.0,162,04,6,09,010,203.0,2524-58,2524.0,1100.0,17577.330007,5044.0,E,15.0,10.0,4.0,562.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89102.0,437639.0,203.0,YELLOWSTONE MOUNTAIN TRUST ETAL,FORTE DUANE & JILL A TRS,6795 S AGILYSYS WAY STE 210,LAS VEGAS NV 89113, , , ,891130000.0, ,1607.0, , ,INDUSTRIAL,RD,LV, , , ,PM00430015        L1, ,PARCEL MAP FILE 43 PAGE 15,LOT 1, , , , ,2027.0,1962.0,20230612, ,2023061201336, ,NS,1666657.0,A,20230601, , , ,04,21,61,370000.0,1.0, ,1.0,545567.0, ,0.0,0.0,99080.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,520920.0,97008.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,Y,20231117,20231117,0.0, ,16204609010,0.0, ,162,16204,162046,16204609,162,162046090,046,090,10,89113.0,0.0,001607     INDUSTRIAL            RD  L,0421  61,0043,0015,YELLOWSTONE MOUNTAIN TRUST ETAL FORTE DUANE & JILL A TRS        6795 S AGILYSYS WAY STE 210     LAS VEGAS NV 89113,001607     INDUSTRIAL            RD, ,370.0,1028.92278619,59156.490234375,1028.8791431500258
