OBJECTID_CITY,LVBOARDS_,LVBOARDS_I,LON,LAT,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,Pin Color Code,Pin Title ,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_CITY,OWNER_MATCH_TYPE,OWNER_MATCH_CONFIDENCE,OWNER_MATCH_NOTES,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
1,2,1,-115.2518008,36.26264906,37,5501, ,Drexel,12534501003,12534501003,Fletcher Jones,Pink,PO,219,30,0, ,U-35-93,VAR-1550,RQR-29149: RQR-2814; U-35-93(2), ,12.5x17.5,1,750, ,6,APN,HIGH,Matched via APN/PARCEL exact join,681330,0,9.46,701,0,12534501003,701,701,125,34,5,01,003,200,1718-16,1718,3305,25080.00132,2695,B,4,18,4,130,,455249.7461,6,0,93,26360.57173,41.18839332,89130,137456,200,S K J & E LAND L L C,C/O FRIENDLY FORD,660 N DECATUR BLVD,LAS VEGAS NV 89130, , , ,891300000, ,5501, , ,DREXEL,RD,LV, , , ,PM00880071        L1, ,PARCEL MAP FILE 88 PAGE 71,LOT 1, , , , ,2027,2000,20211222, ,2.02112E+12, ,NS,26000000,R,20211201, , , ,34,19,60,370000,1, ,9,1951395, ,0,0,3196169, ,0, ,0, ,0, ,0,0,1781207,3214863,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,12534501002,0, ,125,12534,125345,12534501,125,125345010,345,010,03,89130,0,005501     DREXEL                RD  L,3419  60,0088,0071,S K J & E LAND L L C            C/O FRIENDLY FORD               660 N DECATUR BLVD              LAS VEGAS NV 89130,005501     DREXEL                RD, ,370,3008.836717,411807.2129,3008.8367165535938
2,6,12,-115.2419494,36.25063566,AA,4950,N,RANCHO,12535401020,12535401001,LAMAR,Orange,LM,672,40,963,6/14/1995,U-37-95, ,RQR-18680; RQR-9375; RQR-5166, ,14x48,1,300, ,6,SPATIAL,MEDIUM,Matched via spatial intersect (buffered point),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89130,,200,CARMAX AUTO SUPERSTORES INC,,,,,,,,,4850,,N,RANCHO,DR,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,370000,,,,2583633,,,,2994297,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,004850   N RANCHO                DR,,,,,
4,8,13,-115.2232802,36.22894566, ,3901,N,Rancho,13812110004,13812110004,Clear Channel Outdoor,Red,CC,672,40,0, ,U-10-97, ,RQR-39501; 22126; 4270; U-10-97(1), ,14x48,1,300, ,6,APN,HIGH,Matched via APN/PARCEL exact join,590362,0,0,703,0,13812110004,703,703,138,12,1,10,004,200,1921-32,1921,3413,25122.3741,2009,B,3,3,4,1137,,265026.2317,5,0,113,9805.190745,15.32061054,89108,213648,200,POOLE-SANFORD L L C,3901 N RANCHO DR,LAS VEGAS NV 89130-3415, , , , ,891303415, ,3901, ,N,RANCHO,DR,LV, , , ,PM00340089        L1, ,PARCEL MAP FILE 34 PAGE 89,LOT 1,(PLAT BOOK 4-19 LOT 5 PT LOT 6), , , ,2027,1981,19970918, ,1.99709E+12, ,NS,850000,M,19970901, , , ,12,20,60,345000,1, ,2,316963, ,0,0,372907, ,0, ,0, ,0, ,0,0,288148,379568,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13812110004,0, ,138,13812,138121,13812110,138,138121100,121,100,04,89130,3415,003901   N RANCHO                DR  L,1220  60,0034,0089,POOLE-SANFORD L L C             3901 N RANCHO DR                LAS VEGAS NV 89130-3415,003901   N RANCHO                DR, ,345,1150.000354,82500.0918,1150.0003535849505
5,9,18,-115.2226555,36.22819434, ,3901,N,Rancho,13812110005,13812110004,Clear Channel Outdoor,Red,CC,288,40,0, , , , , , ,1,300, ,6,APN,HIGH,Matched via APN/PARCEL exact join,776314,0,0,703,0,13812110005,703,703,138,12,1,10,005,200,1921-32,1921,3413,25122.3741,2009,B,3,3,4,1137,,265026.2317,5,0,113,9805.190745,15.32061054,89108,213649,200,POOLE-SANFORD L L C,3901 N RANCHO DR,LAS VEGAS NV 89130-3415, , , , ,891303415, ,3901, ,N,RANCHO,DR,LV, , , ,PM00340089        L2, ,PARCEL MAP FILE 34 PAGE 89,LOT 2,(PLAT BOOK 4-19 PT LOT 6), , , ,2027,1984,19970918, ,1.99709E+12, ,NS,850000,M,19970901, , , ,12,20,60,730000,1, ,1,105656, ,0,0,8292, ,0, ,0, ,0, ,0,0,96051,8442,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13812110005,0, ,138,13812,138121,13812110,138,138121100,121,100,05,89130,3415,003901   N RANCHO                DR  L,1220  60,0034,0089,POOLE-SANFORD L L C             3901 N RANCHO DR                LAS VEGAS NV 89130-3415,003901   N RANCHO                DR, ,730,749.9997307,27499.9707,749.9997306818807
6,10,16,-115.2139234,36.2196097, ,3340,N,Rancho,13812810004,13812810004,Clear Channel Outdoor,Red,CC,672,50,1234, ,U-119-95, ,RQR-32723, ,14x48,1,300, ,6,APN,HIGH,Matched via APN/PARCEL exact join,637841,0,0,703,0,13812810004,703,703,138,12,8,10,004,200,1921-86,1921,3414,26731.43109,2037,B,7,4,4,231,,265026.2317,5,0,113,9805.190745,15.32061054,89130,214901,200,MADDOX DAVID,1060 PRIMAVERA LN,NIPOMO CA 93444, , , , ,934440000, ,3340, ,N,RANCHO,DR,LV, , , ,PB00030086  B1    L8, ,ELSTNER EST SUB,PLAT BOOK 3 PAGE 86,LOT 8 BLOCK 1,& PT VAC ALLEY, , ,2027,1956,20111212, ,2.01112E+12, ,NS,335000,M,20040301, , , ,12,20,60,358000,1, ,0,82174, ,0,0,11931, ,0, ,0, ,0, ,0,0,74704,11931,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13812810004,0, ,138,13812,138128,13812810,138,138128100,128,100,04,93444,0,003340   N RANCHO                DR  L,1220  60,0003,0086,MADDOX DAVID                    1060 PRIMAVERA LN               NIPOMO CA 93444,003340   N RANCHO                DR, ,358,623.2247054,21334.58789,623.2247054064294
7,11,8,-115.2129763,36.21844084,AA,3282,N,RANCHO,13812810042,13812810042,LAMAR,Orange,LM,672,40,756,2/3/1995,U-288-94, ,U-288-94(1), ,14x48,1,300, ,6,APN,HIGH,Matched via APN/PARCEL exact join,294841,0,3.08,811,0,13812810042,811,811,138,12,8,10,042,200,1921-97,1921,3414,26731.43109,2037,B,7,4,4,231,,265026.2317,5,0,113,9805.190745,15.32061054,89130,214935,200,RANCHO SELF STORAGE L L C,C/O S KAOHU,530 LOMAS SANTA FE DR # C,SOLANA BEACH CA 92075-1346, , , ,920751346, ,3200, ,N,RANCHO,DR,LV, , , ,PB00030086PTB1    L1, ,ELSTNER EST SUB,PLAT BOOK 3 PAGE 86,PT LOT 1 BLOCK 1,"& PT LOTS 2,3,5,20 LOT 4 (PARCEL",MAP 67-94 LOT 1), ,2027,1997,20030129, ,2.00301E+12, ,NS,6400000,R,20030101, , , ,12,20,60,250000,788, ,3,516535, ,0,0,1416086, ,0, ,0, ,0, ,0,0,469578,1427050,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13812810042,0, ,138,13812,138128,13812810,138,138128100,128,100,42,92075,1346,003200   N RANCHO                DR  L,1220  60,0003,0086,RANCHO SELF STORAGE L L C       C/O S KAOHU                     530 LOMAS SANTA FE DR # C       SOLANA BEACH CA 92075-1346,003200   N RANCHO                DR, ,250,1706.143397,133886.1621,1706.1433965181263
8,12,7,-115.2129512,36.21754137,AA,3201,N,RANCHO,13812801011,13812801011,LAMAR,Orange,LM,672,40,754,2/1/1995,U-0260-94, ,RQR-24332; RQR-6792; U-260-94(1), ,14x48,1,300, ,6,APN,HIGH,Matched via APN/PARCEL exact join,612542,0,0.51,701,0,13812801011,701,701,138,12,8,01,011,200,1921-97,1921,3413,25122.3741,2009,B,3,3,4,230,,265026.2317,5,0,113,9805.190745,15.32061054,89130,214891,200,BARTSAS MARY 1 L L C,C/O GALARDI GRP INC,1775 FLIGHT WAY STE 125,TUSTIN CA 92782, , , ,927820000, ,3201, ,N,RANCHO,DR,LV, , , ,PM00140073        L1, ,PARCEL MAP FILE 14 PAGE 73,LOT 1, , , , ,2027,1978,20021205, ,2.00212E+12, ,NS,560000,R,20011001, , , ,12,20,60,358000,1, ,1,124410, ,0,0,65130, ,0, ,0, ,0, ,0,0,116634,68575,0, ,0,0,0,0,0, ,0,0,0,N,20250818,20250818,0, ,13812801011,0, ,138,13812,138128,13812801,138,138128010,128,010,11,92782,0,003201   N RANCHO                DR  L,1220  60,0014,0073,BARTSAS MARY 1 L L C            C/O GALARDI GRP INC             1775 FLIGHT WAY STE 125         TUSTIN CA 92782,003201   N RANCHO                DR, ,358,588.0277452,21845.95117,588.0277452061596
9,13,11,-115.2085906,36.21384866,AA,0,N,Rancho,13813505001,13813505001,Clear Channel Outdoor,Red,CC,288,30,0, , , , ,North Las Vegas,12x24,1,300, ,NLV,APN,HIGH,Matched via APN/PARCEL exact join,352471,0,21.35,701,0,13813505001,701,701,138,13,5,05,001,250,2121-18,2121,3616,42091.81156,4039,D,6,4,4,1139,,0, ,0,0,0,0,89130,215711,250,MOSSMAN MYRA,1333 N ORANGE DR,HOLLYWOOD CA 90028, , , , ,900280000, ,3100, ,N,RANCHO,DR,NLV, , , ,00000000, ,PT NE4 NE4 SEC 13 20 60, , , , , ,2027,0,20241024, ,2.0241E+12, ,NS,0, , , , , ,13,20,60,0,0, ,21,2050663, ,0,0,0, ,0, ,0, ,0, ,0,0,1992073,0,0, ,0,0,0,0,0, ,0,0,0,N,20250107,20250107,0, ,13813505001,0, ,138,13813,138135,13813505,138,138135050,135,050,01,90028,0,003100   N RANCHO                DR  N,1320  60,0000,0000,MOSSMAN MYRA                    1333 N ORANGE DR                HOLLYWOOD CA 90028,003100   N RANCHO                DR, ,0,4049.691388,924688.6953,4049.385736295252
10,14,5,-115.20863,36.21287102,AA,2951,N,RANCHO,13813601019,13813601002,Rancho Oasis,Pink,PO,672,40,936,6/2/1995, ,V-23-95,RQR-29275; RQR-2785, ,14x48,1,300, ,5,APN,HIGH,Matched via APN/PARCEL exact join,422310,0,2,701,0,13813601019,701,701,138,13,6,01,019,200,2121-38,2121,3427,15093.99431,2046,B,3,3,4,294,,265026.2317,5,0,113,9805.190745,15.32061054,89130,215756,200,GRIND MODE 1 L L C,2901 N RANCHO DR,LAS VEGAS NV 89130, , , , ,891300000, ,2901, ,N,RANCHO,DR,LV, ,C-20150213:64, ,PM00950017        L1, ,PARCEL MAP FILE 95 PAGE 17,LOT 1, , , , ,2027,2000,20150212, ,2.01502E+12, ,NS,2970000,R,20150201, , , ,13,20,60,358000,1, ,2,233264, ,0,0,558624, ,0, ,0, ,0, ,0,0,226556,566499,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13813601002,0, ,138,13813,138136,13813601,138,138136010,136,010,19,89130,0,002901   N RANCHO                DR  L,1320  60,0095,0017,GRIND MODE 1 L L C              2901 N RANCHO DR                LAS VEGAS NV 89130,002901   N RANCHO                DR, ,358,1388.900417,87889.70898,1388.9004172593538
11,15,5,-115.2080126,36.21219113,AA,2901,N,RANCHO,13813601019,13813601002,Rancho Oasis,Pink,PO,672,40,937,6/2/1995, ,V-23-95,RQR-29275; RQR-2785, ,14x48,1,300, ,5,APN,HIGH,Matched via APN/PARCEL exact join,422310,0,2,701,0,13813601019,701,701,138,13,6,01,019,200,2121-38,2121,3427,15093.99431,2046,B,3,3,4,294,,265026.2317,5,0,113,9805.190745,15.32061054,89130,215756,200,GRIND MODE 1 L L C,2901 N RANCHO DR,LAS VEGAS NV 89130, , , , ,891300000, ,2901, ,N,RANCHO,DR,LV, ,C-20150213:64, ,PM00950017        L1, ,PARCEL MAP FILE 95 PAGE 17,LOT 1, , , , ,2027,2000,20150212, ,2.01502E+12, ,NS,2970000,R,20150201, , , ,13,20,60,358000,1, ,2,233264, ,0,0,558624, ,0, ,0, ,0, ,0,0,226556,566499,0, ,0,0,0,0,0, ,0,0,0,N,20231117,20231117,0, ,13813601002,0, ,138,13813,138136,13813601,138,138136010,136,010,19,89130,0,002901   N RANCHO                DR  L,1320  60,0095,0017,GRIND MODE 1 L L C              2901 N RANCHO DR                LAS VEGAS NV 89130,002901   N RANCHO                DR, ,358,1388.900417,87889.70898,1388.9004172593538
