OBJECTID,objectid_old,billboard_tag_no,billboard_owner,billboard_owner_tag_no,system_number,district,route,county_milepost,cumulative_milepost,county,jurisdiction,status,reason,nhs,type,direction_of_travel,number_of_faces,illuminated,changeable,electronic_variable,condition,feet_from_row,zoning,property_owner,property_address,emergency_contact,x,y,excluded_type,inspected,created_user,created_date,last_edited_user,last_edited_date,x1,y1,globalid_1
2,338.0,Pending,Lamar,791,,2.0,SR 648,,,Washoe County,City,,,MAP 21,Back to Back,Eastbound,2.0,Yes,No,,Good,26.0,Zoned Industrial,F E Choquette LLC,0 Glendale Ave. ,,-119.754335,39.52748916,Map 21,Yes,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1568125473000.0,-119.754335,39.52748916,{BD6D5130-492E-425A-AB67-26A18ABA7CED}
6,309.0,Tribal,,,,2.0,,,,,,,,,,,,,,,,,Other,,,,-118.8083029,38.92965471,Tribal,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572629068000.0,-118.8083029,38.92965471,{2E6CC5E0-FE6A-4783-925C-391D7CACAA4F}
8,342.0,Pending,Lamar,13881,,2.0,SR 648,,,Washoe County,City,,,MAP 21,Back to Back,Westbound,2.0,Yes,No,,Good,30.0,Zoned Industrial,Big Julie Inc. ,1388 Glendale Ave. ,,-119.7605949,39.52797946,Map 21,Yes,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1580755032000.0,-119.7605949,39.52797946,{21BDCCC7-2951-4CF5-8E19-26FD1EC955CA}
13,346.0,Pending,Lamar,51,,2.0,SR 648,,,Washoe County,City,,,MAP 21,Back to Back,Eastbound,2.0,Yes,,,Good,25.0,Zoned Industrial,Jose A Garcia ,1900 E. Second St. ,,-119.7875264,39.52730924,Pending,Yes,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1580754938000.0,-119.7875264,39.52730924,{E72C1D9B-CD6E-4634-A75A-44593F96F6B2}
20,129.0,03344,Ward Land Management and Devel,,404.0,2.0,IR 80 E,13.61,,Pershing County,,,,,,,1.0,No,No,,,,Zoned Commercial,Southern Pacific Co,,,-118.511676,40.13418443,Other,,TJSmith@dot.nv.gov,1568057172000.0,TJSmith@dot.nv.gov,1568057172000.0,-118.511676,40.13418443,{47B770BD-5809-43FB-9478-21D0233F0B75}
21,195.0,01741,The Lamar Companies,,112.0,2.0,IR-80,15.92,,Washoe County,City,Non-conforming,On residential property ,,Back to Back,Westbound,2.0,Yes,No,No,Good,400.0,Unzoned Commercial,Hatie Smith,,,-119.7697389,39.53539308,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1575491108000.0,-119.7697389,39.53539308,{81CB5CF7-1FEC-42FF-AB7A-2E4C9EDA5F69}
27,264.0,04975,The Lamar Companies,,1663.0,2.0,US 395,29.99,,Washoe County,City,Conforming,,Interstate,Back to Back,Northbound,2.0,Yes,No,No,Good,10.0,Zoned Commercial,Charles Goodnight,"85 Lilac Ln, Reno , NV, 89512",,-119.7876096,39.54302455,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1637004273000.0,-119.7876096,39.54302455,{05E5C33D-5AF8-455E-A14E-1738D9701822}
28,305.0,Tribal,,,,2.0,,,,,,,,,,,,,,,,,Other,,,,-118.8035919,38.91482803,Tribal,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572628992000.0,-118.8035919,38.91482803,{2FED6734-59A7-4334-B591-41CAEB248ED7}
33,209.0,03236,Boomtown Inc,,344.0,2.0,IR-80,4.42,,Washoe County,County,Conforming,,Interstate,Back to Back,Eastbound,2.0,Yes,No,No,Good,75.0,Unzoned Commercial,Boomtown Inc.,"I-80 E, Reno, NV, 89439",,-119.9731225,39.51230391,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573671740000.0,-119.9731225,39.51230391,{03C4724C-F66C-4665-B3FB-42AC43FD19FC}
34,276.0,04995,The Lamar Companies,51032N,1683.0,2.0,US 395,31.17,,Washoe County,County,Conforming,,Interstate,V-Type,Southbound,2.0,Yes,No,No,Good,75.0,Zoned Commercial,Cassiday,,,-119.8332538,39.5952254,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574376774000.0,-119.8332538,39.5952254,{C6043392-8D85-480A-89D8-0AC36CD161F1}
35,110.0,04103,Lamar,510725/510722,965.0,2.0,US 50A,4.54,,Lyon County,County,Conforming,,Interstate Highway,Back to Back,Westbound,2.0,Yes,No,No,Average,5.0,Zoned Commercial,Thomas Ferre,,,-119.1449726,39.59181707,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1610733018000.0,-119.1449726,39.59181707,{63A81E38-E109-492A-AD67-1C1834149AE4}
36,175.0,04602,Saunders Outdoor Advertising,,1445.0,2.0,IR-580,19.15,,Washoe County,City,Conforming,,Interstate,Back to Back,Northbound,2.0,Yes,Yes,No,Good,20.0,Unzoned Commercial,Farahi Investments Co,,,-119.7715099,39.44790784,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574459768000.0,-119.7715099,39.44790784,{7993BF43-2C47-4A5F-9ACD-385554B8DEB9}
40,94.0,04984,Brenda Dixon,,1672.0,2.0,US 95A S,13.51,,Lyon County,,,,,,,2.0,No,No,,,,Unzoned Commercial,Don and Joy Tibbals,,,-119.1790647,38.99382865,Other,,TJSmith@dot.nv.gov,1568057172000.0,TJSmith@dot.nv.gov,1568057172000.0,-119.1790647,38.99382865,{39D59C47-E3B3-47F5-A732-1CBCE6EA9B57}
44,298.0,Tribal,,,,2.0,US 50,,,,,,,,,Westbound,,,,,,,Other,,,,-118.7717087,39.47503462,Tribal,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574710450000.0,-118.7717087,39.47503462,{0BE60CCF-9C9E-423D-B8A3-1EBFFFA8D545}
47,30.0,03073,KVH Properties LLC,,280.0,2.0,US 50,16.56,,Churchill County,County,Conforming,,Interstate Highway,Stacked,Westbound,2.0,No,No,No,Average,10.0,Unzoned Commercial,Smith Investment Trust,,,-118.8509749,39.48569486,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1641855970000.0,-118.8509749,39.48569486,{4DC19C9B-8F8C-494C-80EE-3EA220C15598}
49,119.0,00563,,,38.0,2.0,US 95,49.34,,Mineral County,City,Conforming,,Interstate Highway,Single Face,Northbound,1.0,No,No,No,Average,10.0,Unzoned Commercial,Loftin,,,-118.6159145,38.52467244,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574719090000.0,-118.6159145,38.52467244,{ED6A13F6-25DE-4FC7-B6B6-24E774EFC83E}
53,122.0,04715,GP Global,,5717.0,2.0,US 95,51.47,,Mineral County,County,Conforming,,Interstate Highway,V-Type,Northbound,2.0,Yes,No,No,Good,5.0,Zoned Commercial,Eric Hamrey,,,-118.640554,38.54212697,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574720251000.0,-118.640554,38.54212697,{D18F8D99-9F39-4EB2-B65C-3E78F189B3FD}
56,268.0,03038,The Lamar Companies,510048S,269.0,2.0,US 395,33.89,,Washoe County,County,Conforming,,Interstate,Back to Back,,2.0,Yes,No,No,Good,10.0,Unzoned Commercial,George Butoroc,,,-119.8733953,39.61775682,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574372686000.0,-119.8733953,39.61775682,{3C40E4BA-3D3B-489B-AA68-074689B92EC0}
59,180.0,04813,The Lamar Companies,26132,1521.0,2.0,IR-580,20.45,,Washoe County,City,Conforming,,Interstate,V-Type,Northbound,2.0,Yes,No,No,Good,10.0,Unzoned Commercial,Ralph Durham,,,-119.7850976,39.46263715,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574460587000.0,-119.7850976,39.46263715,{C6179D71-26CD-494F-AC03-1743785C8866}
63,82.0,00306,Outfront Media,66034B,8.0,2.0,US 50,2.08,,Lyon County,County,Conforming,,Interstate Highway,V-Type,Westbound,2.0,No,No,No,Good,10.0,Unzoned Commercial,Walter Statton,,,-119.6463678,39.22109847,Other,,TJSmith@dot.nv.gov,1568057172000.0,,1642697228000.0,-119.6463678,39.22109847,{D554842D-A86D-4680-8133-1AF240C6A905}
68,117.0,04018,ARCFDHTNNV001 LLC,,881.0,2.0,US 95,49.28,,Mineral County,City,Conforming,,Interstate Highway,Single Face,Northbound,1.0,No,No,No,Average,10.0,Unzoned Commercial,Max Norton ,,,-118.61477,38.52469545,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1574719044000.0,-118.61477,38.52469545,{8E7C729A-0DB3-4E47-A5B8-1AB774C80320}
75,218.0,00398,The Lamar Companies,002482,29.0,2.0,IR-80,10.17,,Washoe County,City,Conforming,,Interstate,Back to Back,Eastbound,2.0,Yes,No,No,Good,5.0,,Harrahs,,,-119.8702617,39.5192945,Other,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1573673831000.0,-119.8702617,39.5192945,{3B475C95-0B02-4148-A210-2F2DD37A046F}
80,155.0,5002,Yesco Outdoor Media,,5733.0,2.0,IR-80,118.69,,Pershing County,County,Conforming,,Interstate,V-Type,Eastbound,2.0,No,No,No,Good,15.0,Zoned Industrial,Travis Godon,,,-118.3276613,40.32283772,Pending,,TJSmith@dot.nv.gov,1568057172000.0,BSlobe@dot.nv.gov,1574798524000.0,-118.3276613,40.32283772,{1388AEC0-61E0-42FA-A4B4-0570F97B6BB8}
83,307.0,Tribal,,,,2.0,,,,,,,,,,,,,,,,,Other,,,,-118.805641,38.9223555,Tribal,,TJSmith@dot.nv.gov,1568057172000.0,jroberts2@dot.nv.gov,1572629022000.0,-118.805641,38.9223555,{CBB903C8-174E-479C-96DD-061D8DA7984F}
