OBJECTID_BILLBOARD,LVBOARDS_,LVBOARDS_I,SIGN_TYPE,STREET_NUM,STREET_DIR,STREET_NAM,PARCEL,PARCELOLD,APPLICANT,SIGN_AREA,SIGN_HEIGH,TAG_NUM,APPLY_DATE,NOTES_SUP,NOTES_VAR,NOTES_RQR,NOTES,SIZE_,FIELD_CHEC,FREEWAY,APP_FIN,WARD_BILLBOARD,OBJECTID_1,CALC_ACRES,ASSR_ACRES,LABEL_CLAS,PARCELTYPE,PRCLID,PRCLKEY,PRCLVER,PCLBOOK,PCLSEC,PCLPAGE,PCLSUBD,PCLNO,TAXDIST_SP,FDPHANTOM,FIREMAPNO,CENTRACT,SHAPE_LENG,PRECINCT,COMMISSION,ASSEMBLY,SENATE,CONGRESS,TAZ,AREA,PERIMETER,WARD_PARCEL,CNTY_IS,SHADE,ACRES,SQ_MILES,ZIP,OBJECTID_PARCEL,TAXDIST,OWNER,ADDRESS1,ADDRESS2,ADDRESS3,ADDRESS4,ADDRESS5,NAMETAG,ZIPCODE,COMNAME,STRNO,STRFRAC,STRDIR,STRNAME,STRTYPE,STRCITY,STRUNIT,COMMENT1,COMMENT2,FIXD,SUBTAG,LEGAL1,LEGAL2,LEGAL3,LEGAL4,LEGAL5,LEGAL6,ASSDYR,CONSTYR,DOCDATE,FILLER1,DOCNO,DOCMULTI,DOCVEST,SALEPRICE,SALETYPE,SALEDATE,PORTION,BK1,BK2,SECTNO,TOWNSHIP,RANGE,LANDUSE,CAPACITY,LANDCD1,LANDACRE1,LANDVAL1,LANDCD2,LANDACRE2,LANDVAL2,IMPVAL,PRCD1,PRVAL1,PRCD2,PRVAL2,PRCD3,PRVAL3,EXMPCD,EXMPVAL,LYACRES,LYLNDVAL,LYIMPVAL,LYPPVAL,LYEXCD,LYEXVAL,LY2ACRES,LY2LNDVAL,LY2IMPVAL,LY2PPVAL,LY2EXCD,LY2EXVAL,OWNERNUM,OWNERDEN,ETALFLAG,UPDDATE,LASTUPDATE,LOTSQFT,OLDPARCEL,INACTPCL,INACTREF,FILLER2,PCLBOOK3,PCL5,PCL6,PCL8,OLDBOOK,OLDPCL,OLDPAGE,OLDLOT,OLDFILL,ZIPMAIN,ZIPLUS4,LOCATION,STR,ADBOOK,ADPAGE,ADDR_OWN,ADDRESS,INACTNEWPC,LUCODE,SHAPE_LE_1,Shape__Area,Shape__Length
301,0,0, ,1571,N,Decatur,13825503003,13825503003,Las Vegas Billboards,288.0,40.0,0.0,12/03/03,SUP-3061, ,RQR-39499; RQR-24404; RQR-11336, ,12x24,1,300,Finalled,5,546103.0,0.0,0.52,701.0,0.0,13825503003,701.0,701.0,138,25,5,03,003,207.0,2321-19,2321.0,108.0,16570.8696552,4008.0,D,3.0,3.0,4.0,380.0,,265026.231717,5,0.0,113.0,9805.19074535,15.32061054,89108.0,242662.0,207.0,ALOHA IMPERIAL PLAZA SHOPPING L,98-627 KAAHELE ST,AIEA HI 96701, , , , ,967010000.0, ,4907.0, , ,VEGAS,DR,LV,170, , ,00000000, ,PT NE4 NE4 SEC 25 20 60, , , , , ,2027.0,1963.0,20220923, ,2022092301363, ,NS,188000.0,R,20150101, , , ,25,20,60,355000.0,1.0, ,1.0,83243.0, ,0.0,0.0,115870.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,75315.0,115758.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13825503003,0.0, ,138,13825,138255,13825503,138,138255030,255,030,03,96701.0,0.0,004907     VEGAS                 DR  L,2520  60,0000,0000,ALOHA IMPERIAL PLAZA SHOPPING L 98-627 KAAHELE ST               AIEA HI 96701,004907     VEGAS                 DR, ,355.0,602.51833861,22686.955078125,602.5183386047065
302,0,0, ,6118,W,Sahara,16302802004,16302802004,Show Media,672.0,40.0,0.0,12/03/03,SUP-3115, ,RQR-41221; RQR-26970; RQR-11402, ,14x48,1,300,Final,1,588428.0,0.0,2.63,701.0,0.0,16302802004,701.0,701.0,163,02,8,02,004,200.0,2519-99,2519.0,2905.0,22083.861821,3009.0,C,10.0,3.0,4.0,545.0,,161583.305707,1,0.0,83.0,11202.3105405,17.50361022,89146.0,485900.0,200.0,6122 W SAHARA AVE L L C,1620 S LOS ANGELES ST # C,LOS ANGELES CA 90015, , , , ,900150000.0, ,6154.0, ,W,SAHARA,AVE,LV, ,CC-20130919:3347, ,00000000, ,PT SE4 SE4 SEC 02 21 60, , , , , ,2027.0,1990.0,20130919, ,2013091903348, ,NS,4400000.0,R,20130901, , , ,02,21,60,335000.0,1.0, ,3.0,801941.0, ,0.0,0.0,1122564.0, ,0.0, ,0.0, ,0.0,96,1025900.0,0.0,761844.0,1135993.0,0.0, ,1021417.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16302802004,0.0, ,163,16302,163028,16302802,163,163028020,028,020,04,90015.0,0.0,006154   W SAHARA                AVE L,0221  60,0000,0000,6122 W SAHARA AVE L L C         1620 S LOS ANGELES ST # C       LOS ANGELES CA 90015,006154   W SAHARA                AVE, ,335.0,1676.06604259,116810.34765625,1676.0660425995309
303,0,0, ,793,N,Nellis,14029802004,14029802004,Reagan National Advertising,672.0,40.0,0.0,12/17/03,SUP-2759,RQR-11127,RQR-26439, ,14x48,1,300,Final,3,556474.0,0.0,0.66,701.0,0.0,14029802004,701.0,701.0,140,29,8,02,004,200.0,2329-79,2329.0,515.0,16151.9000749,5005.0,E,28.0,2.0,1.0,1297.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89110.0,353684.0,200.0,MIGUEL CONSTANTINO TRS,O'BRIEN ALICE MIGUEL TRS,140 S DECATUR BLVD,LAS VEGAS NV 89107, , , ,891070000.0, ,789.0, ,N,NELLIS,BLVD,LV, , , ,PM00520038        L1, ,PARCEL MAP FILE 52 PAGE 38,LOT 1, , , , ,2027.0,1986.0,20211203, ,2021120300154, ,NS,7093000.0,M,20211201, , , ,29,20,62,370000.0,1.0, ,1.0,100625.0, ,0.0,0.0,176630.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,93078.0,181690.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,Y,20231117,20231117,0.0, ,14029802004,0.0, ,140,14029,140298,14029802,140,140298020,298,020,04,89107.0,0.0,000789   N NELLIS                BLVDL,2920  62,0052,0038,MIGUEL CONSTANTINO TRS          O'BRIEN ALICE MIGUEL TRS        140 S DECATUR BLVD              LAS VEGAS NV 89107,000789   N NELLIS                BLVD, ,370.0,681.05055524,28417.10546875,681.0505552405336
304,0,0, ,2601, ,Westwood Dr.,16209102005,16209102005,Clear Channel Outdoor,624.0,55.0,0.0,12/17/03,SUP-3140; SUP-1499, ,RQR-33271; RQR-11401, ,24x26,1,750, ,1,576422.0,0.0,1.27,701.0,0.0,16209102005,701.0,701.0,162,09,1,02,005,212.0,2624-11,2624.0,2201.0,24882.7749149,5014.0,E,15.0,10.0,1.0,606.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89109.0,444271.0,212.0,NEVADA LAND DEALS L L C,2605 S EASTERN AVE STE 101,LAS VEGAS NV 89169, , , , ,891690000.0, ,2601.0, , ,WESTWOOD,DR,LV, , , ,PM01020054        L1, ,PARCEL MAP FILE 102 PAGE 54,LOT 1, , , , ,2027.0,1979.0,20190329, ,2019032900105, ,NS,2600000.0,R,20170601, , , ,09,21,61,321001.0,93.0, ,1.0,312480.0, ,0.0,0.0,615722.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,312480.0,639792.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20251105,20251105,0.0, ,16209102001,0.0, ,162,16209,162091,16209102,162,162091020,091,020,05,89169.0,0.0,002601     WESTWOOD              DR  L,0921  61,0102,0054,NEVADA LAND DEALS L L C         2605 S EASTERN AVE STE 101      LAS VEGAS NV 89169,002601     WESTWOOD              DR, ,321.0,1471.19752622,56083.05078125,1471.197526223415
305,0,0, ,4545,W,Sahara Ave.,16207101005,16207101005,Show Media,672.0,40.0,0.0,01/21/04,SUP-3114, ,RQR-11399,Denied; to be removed by 5/19/2006,14x48,1,300, ,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
306,0,0, ,0, ,SE Highland/Western,16204703001,16204703001,Las Vegas Billboards,672.0,40.0,0.0,02/04/04,SUP-3285, ,RQR-40786; 11565, ,14x48,1,750,Approved,3,583672.0,0.0,1.55,701.0,0.0,16204703001,701.0,701.0,162,04,7,03,001,212.0,2524-56,2524.0,204.0,18398.8109345,5562.0,E,15.0,10.0,4.0,559.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89102.0,437650.0,212.0,1701 WESTERN PROPERTIES L L C,330 S RAMPART BLVD # 340,LAS VEGAS NV 89145, , , , ,891450000.0, ,1701.0, , ,WESTERN,AVE,LV, , , ,00000000, ,PT NW4 SE4 SEC 04 21 61, , , , , ,2027.0,1956.0,20080521, ,2008052104092, ,NS,700000.0,M,19950301, , , ,04,21,61,330000.0,1.0, ,2.0,448995.0, ,0.0,0.0,37796.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,404095.0,37097.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20250925,20250925,0.0, ,16204703001,0.0, ,162,16204,162047,16204703,162,162047030,047,030,01,89145.0,0.0,001701     WESTERN               AVE L,0421  61,0000,0000,1701 WESTERN PROPERTIES L L C   330 S RAMPART BLVD # 340        LAS VEGAS NV 89145,001701     WESTERN               AVE, ,330.0,1077.22445326,66426.333984375,1077.2244532598259
307,0,0, ,2234,W,Mesquite Ave,13929801009,13929801005,Ad America Inc.,672.0,40.0,0.0,10/28/03,U-0010-02, ,RQR-28992,L-2064-04; DIR-17195,14x48,1,750,Finalled/Permitted,5,602281.0,0.0,7.82,701.0,0.0,13929801009,701.0,701.0,139,29,8,01,009,200.0,2323-99,2323.0,203.0,19218.7742545,4027.0,D,10.0,3.0,4.0,449.0,,161583.305707,1,0.0,83.0,11202.3105405,17.50361022,89106.0,315333.0,200.0,LODGE MASONIC MEMORIAL TEMPLE,2200 W MESQUITE,LAS VEGAS NV 89106-3788, , , , ,891063788.0, ,2200.0, ,W,MESQUITE,AVE,LV, , , ,PM01150080        L1, ,PARCEL MAP FILE 115 PAGE 80,LOT 1, , , , ,2027.0,1974.0,19720728, ,1972072810053, ,NS,0.0, , , , , ,29,20,61,450000.0,1.0, ,8.0,1293577.0, ,0.0,0.0,1058876.0, ,0.0, ,0.0, ,0.0,35,2352453.0,0.0,1293577.0,1097566.0,0.0, ,2391142.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,13929801005,0.0, ,139,13929,139298,13929801,139,139298010,298,010,09,89106.0,3788.0,002200   W MESQUITE              AVE L,2920  61,0115,0080,LODGE MASONIC MEMORIAL TEMPLE   2200 W MESQUITE                 LAS VEGAS NV 89106-3788,002200   W MESQUITE              AVE, ,450.0,2362.99318917,340853.65234375,2362.9931891648976
308,0,0, ,2901, ,Highland,16208611011,16208611011,Reagan National Advertising,672.0,45.0,0.0,08/12/03,SUP-1945,VAR-1946,RQR-21567; RQR-6171, ,24x28,1,300,final,1,583982.0,0.0,0.0,703.0,0.0,16208611011,703.0,703.0,162,08,6,11,011,212.0,2623-59,2623.0,2201.0,24882.7749149,5014.0,E,15.0,10.0,1.0,606.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89109.0,444194.0,212.0,HIGHLAND INDUSTRIAL PARK L L C,C/O NEVADA DEVELOPMENT & RLTY CO,2500 W SAHARA AVE # 211,LAS VEGAS NV 89102, , , ,891020000.0, ,2901.0, , ,HIGHLAND,DR,LV, , , ,PB00200064PTB1    L15, ,HIGHLAND INDST PARK,PLAT BOOK 20 PAGE 64,PT LOT 15 BLOCK 1,"(LOT 15-A LD 25,26,27-79)", , ,2027.0,1979.0,20160601, ,2016060102810, ,NS,12838738.0,M,20160601, , , ,08,21,61,240000.0,1.0, ,1.0,330226.0, ,0.0,0.0,167274.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,312845.0,172107.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16208611011,0.0, ,162,16208,162086,16208611,162,162086110,086,110,11,89102.0,0.0,002901     HIGHLAND              DR  L,0821  61,0020,0064,HIGHLAND INDUSTRIAL PARK L L C  C/O NEVADA DEVELOPMENT & RLTY CO2500 W SAHARA AVE # 211         LAS VEGAS NV 89102,002901     HIGHLAND              DR, ,240.0,876.9880642,49850.640625,876.9880642081195
309,0,0, ,2903, ,Highland Dr.,16209210002,16209210002,Reagan National Advertising,672.0,45.0,0.0,8/12/03,SUP-1876,VAR-1947,RQR-21572; RQR-6169, ,14x48,1,300,final,1,578479.0,0.0,0.0,703.0,0.0,16209210002,703.0,703.0,162,09,2,10,002,212.0,2624-41,2624.0,2201.0,24882.7749149,5014.0,E,15.0,10.0,1.0,606.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89109.0,444343.0,212.0,HIGHLAND INDUSTRIAL PARK L L C,C/O NEVADA DEVELOPMENT & RLTY CO,2500 W SAHARA AVE # 211,LAS VEGAS NV 89102, , , ,891020000.0, ,2901.0, , ,HIGHLAND,DR,LV, , , ,PB00200064  B1    L13, ,HIGHLAND INDST PARK,PLAT BOOK 20 PAGE 64,LOT 13 BLOCK 1, , , ,2027.0,1979.0,20160601, ,2016060102810, ,NS,12838738.0,M,20160601, , , ,09,21,61,240000.0,1.0, ,1.0,324434.0, ,0.0,0.0,163445.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,307358.0,168294.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16209210002,0.0, ,162,16209,162092,16209210,162,162092100,092,100,02,89102.0,0.0,002901     HIGHLAND              DR  L,0921  61,0020,0064,HIGHLAND INDUSTRIAL PARK L L C  C/O NEVADA DEVELOPMENT & RLTY CO2500 W SAHARA AVE # 211         LAS VEGAS NV 89102,002901     HIGHLAND              DR, ,240.0,889.04656269,48921.18359375,889.0465626940492
310,0,0, ,210,E,Charleston,16203110039,16203110039,LAMAR,672.0,0.0,0.0, , , , , ,14x48,1,300,Built,3,219301.0,0.0,0.0,703.0,0.0,16203110039,703.0,703.0,162,03,1,10,039,203.0,2525-12,2525.0,1100.0,17577.330007,5044.0,E,15.0,10.0,4.0,564.0,,150972.207738,3,0.0,57.0,8235.23370861,12.86755267,89104.0,434883.0,203.0,CHARLEY L L C,2331 E DESERT INN RD,LAS VEGAS NV 89169, , , , ,891690000.0, ,210.0, ,E,CHARLESTON,BLVD,LV, , , ,PB00010052PTB13   L5, ,BOULDER ADD,PLAT BOOK 1 PAGE 52,PT LOT 5 BLOCK 13,& LOT 6, , ,2027.0,1939.0,20190710, ,2019071002251, ,NS,2260000.0,M,20190701, , , ,03,21,61,335000.0,1.0, ,0.0,45736.0, ,0.0,0.0,48076.0, ,0.0, ,0.0, ,0.0, ,0.0,0.0,43907.0,47112.0,0.0, ,0.0,0.0,0.0,0.0,0.0, ,0.0,0.0,0.0,N,20231117,20231117,0.0, ,16203110039,0.0, ,162,16203,162031,16203110,162,162031100,031,100,39,89169.0,0.0,000210   E CHARLESTON            BLVDL,0321  61,0001,0052,CHARLEY L L C                   2331 E DESERT INN RD            LAS VEGAS NV 89169,000210   E CHARLESTON            BLVD, ,335.0,342.32029196,5194.09375,342.3202919684268
